,,,,,30,50,40,50,,,,,15
Date,Month,Dim1,Dim2,N_Records,N_Records_Incomplete,N_Records_Invalid,N_Records_Dups,N_Records_Remediated,N_Records_Grade_A,N_Records_Grade_B,N_Records_Grade_C,N_Records_Grade_D,N_Records_Grade_E
Jan-19,2019-01,Vegetables,Onions,"3,874",194,"1,627",969,814,"2,247",569,244,691,122
Jan-19,2019-01,Vegetables,Carrots,167,0,48,25,24,119,17,7,20,4
Jan-19,2019-01,Vegetables,Potatoes,"1,263",63,632,354,316,631,221,95,269,47
Jan-19,2019-01,Fruit,Apples,"4,233",127,"1,863","1,693",932,"2,370",652,279,792,140
Jan-19,2019-01,Fruit,Bananas,"1,818",36,709,564,355,"1,109",248,106,301,53
Jan-19,2019-01,Fruit,Pears,"5,232",209,471,366,236,"4,761",165,71,200,35
Jan-19,2019-01,Dairy,Eggs,"3,194",511,926,639,463,"2,268",324,139,394,69
Jan-19,2019-01,Dairy,Milk,"9,147","1,372","2,744",915,"1,372","6,403",960,412,"1,166",206
Feb-19,2019-02,Vegetables,Onions,"5,407","1,081","1,514",0,757,"3,893",530,227,643,114
Feb-19,2019-02,Vegetables,Carrots,"2,488",522,672,522,336,"1,816",235,101,286,50
Feb-19,2019-02,Vegetables,Potatoes,"4,221","1,140",464,"1,182",232,"3,039",162,70,808,143
Feb-19,2019-02,Fruit,Apples,"4,450",267,"1,736","1,513",868,"2,714",608,260,738,130
Feb-19,2019-02,Fruit,Bananas,"9,049","1,629","3,439","2,986","1,720","5,610","1,204",516,"1,462",258
Feb-19,2019-02,Fruit,Pears,"7,830",313,"2,819","1,331","1,410","5,011",987,423,"1,198",211
Feb-19,2019-02,Dairy,Eggs,"4,470",760,313,"1,252",157,"3,218",110,47,931,164
Mar-19,2019-03,Dairy,Milk,"9,044","1,718",995,"1,809",498,"7,235",348,149,"1,115",197
Mar-19,2019-03,Vegetables,Onions,"6,957",209,"2,087",209,"1,044","4,870",730,313,887,157
Mar-19,2019-03,Vegetables,Carrots,96,24,46,36,23,50,16,7,20,3
Mar-19,2019-03,Vegetables,Potatoes,927,83,352,204,176,575,123,53,150,26
